,D,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,3.954e-10,264.14,101325,Liquid,232490,4530.079855361065,-188.77032627857145,-108.03462179153797,-12.993578389018483 m^-2 kg^-1 s^2 mol K,-2.364635664139226 m^-2 kg^-1 s^2 mol K,-62559.75212535009,-64733.56712593098,-36197.30212591414,-34023.487125333246,0.00022074666052885643,443.1873231645907,389.54146993585607,-1.445761872298581e-05,-108.01247479068631,-108.0124603330676,-62553.63625072989,-64749.81330138756,4529.546658385061,0.00022077264578979617,0.0003116569978122599,3208.6556920579505,-3208.655471285305,-3.84460688840349e-08,2.514360059338727e-05,3.8528732678178986e-05,4.575756801393872e-06,1.5323474669062307,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
1,4.204e-10,266.5,101325,Liquid,232490,4519.058515811514,-184.8232027459431,-107.04627169093885,-12.87470719481271 m^-2 kg^-1 s^2 mol K,-2.343002896256335 m^-2 kg^-1 s^2 mol K,-62292.20711043406,-64485.58969249016,-35957.75828685496,-33764.375704798855,0.00022128503016748924,444.3109350997615,390.92768809970914,-1.8318782078197186e-05,-107.02414244155568,-107.0241241227736,-62286.03615344563,-64501.83391607535,4518.520872550164,0.00022131136011232358,0.00040085400937252643,2494.6738129558485,-2494.673591644488,1.7908306437774968e-07,2.5369949192236543e-05,3.870047041051523e-05,4.616948838979091e-06,1.52544532577771,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
2,4.372e-10,268.03,101325,Liquid,232490,4511.943386668241,-182.2775718091854,-106.41366449307417,-12.798622037308546 m^-2 kg^-1 s^2 mol K,-2.329156542960922 m^-2 kg^-1 s^2 mol K,-62119.66802428033,-64325.736376133915,-35803.681882055236,-33597.61353020166,0.00022163398657766204,445.04500684173735,391.8259880129343,-2.1296403454683766e-05,-106.39154470953058,-106.39152341312712,-62113.46048593601,-64341.97827341359,4511.402813498134,0.00022166054359145152,0.00047051904715184344,2125.3124736463333,-2125.3122519857898,1.2928220027852433e-07,2.5516524269340097e-05,3.881140282680633e-05,4.643623296500811e-06,1.521030153524513,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
3,5.594000000000001e-10,278.2,101325,Liquid,232490,4465.201291983391,-165.61171050207918,-102.36406727180861,-12.311567442532457 m^-2 kg^-1 s^2 mol K,-2.2405199387315755 m^-2 kg^-1 s^2 mol K,-60990.47452533136,-63280.86587962035,-34803.182364603206,-32512.7910103142,0.00022395406939332215,450.03771372631667,397.79353240375514,-5.492625140496128e-05,-102.34197029015102,-102.34191536389962,-60984.00293034065,-63297.06603801112,4464.640280213613,0.0002239822107128762,0.0012914982278097035,774.2945197036272,-774.2942957214165,-4.622693383637966e-08,2.648695136188508e-05,3.9540868128876434e-05,4.820226418733727e-06,1.4928433094710944,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
4,5.635000000000001e-10,278.52,101325,Liquid,232490,4463.745009426638,-165.09425927692521,-102.24085667231196,-12.29674861356477 m^-2 kg^-1 s^2 mol K,-2.237823134939066 m^-2 kg^-1 s^2 mol K,-60955.43008575446,-63248.47466484106,-34772.351264468736,-32479.306685382133,0.00022402713369338467,450.19801953465924,397.98130047023807,-5.6506891163216454e-05,-102.21875929229344,-102.21870278540227,-60948.94948802665,-63264.67261381645,4463.183326939923,0.00022405532704963444,0.0013312070586320069,751.1979398814439,-751.1977158261168,-5.169241332758645e-07,2.6517365267827168e-05,3.95636025669364e-05,4.82576129177049e-06,1.491988444830071,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
5,5.64e-10,278.56,101325,Liquid,232490,4463.563032030029,-165.0296067249285,-102.22547277953315,-12.294898356550538 m^-2 kg^-1 s^2 mol K,-2.2374864160158654 m^-2 kg^-1 s^2 mol K,-60951.051565052934,-63244.427797194214,-34768.500099727455,-32475.123867586175,0.00022403626717582164,450.2180715683555,398.0047718190068,-5.670730745625753e-05,-102.20337534498918,-102.20331863768173,-60944.56983853613,-63260.625465446465,4463.001265583475,0.00022406446704631707,0.0013362475783903667,748.3643122516204,-748.3640881871534,1.898991479620804e-07,2.6521166447420055e-05,3.956644345320488e-05,4.826453049234218e-06,1.491881721403466,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
6,5.661e-10,278.72,101325,Liquid,232490,4462.835250720975,-164.7710605317503,-102.16397587945536,-12.287501979550354 m^-2 kg^-1 s^2 mol K,-2.236140386745373 m^-2 kg^-1 s^2 mol K,-60933.54199735695,-63228.24484161448,-34753.10148449267,-32458.39864023514,0.0002240728021135105,450.2983103897176,398.0986580066066,-5.7515351660729664e-05,-102.1418782163033,-102.14182070095164,-60927.05574796473,-63244.44137678283,4462.273148167698,0.0002241010280624844,0.0013565828440846033,737.1462821902198,-737.1460580891918,-3.5710402634947513e-08,2.6536369920137048e-05,3.9577804959096826e-05,4.8292198523987525e-06,1.491455126613355,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
7,6.968e-10,288.09,101325,Liquid,232490,4420.55039953982,-149.80363665694662,-98.6671193885955,-11.866926814148195 m^-2 kg^-1 s^2 mol K,-2.159602037894397 m^-2 kg^-1 s^2 mol K,-59920.4581920539,-62292.85037384949,-33867.839949189016,-31495.447767393423,0.00022621617437143122,455.0830198314241,403.6008339028561,-0.0001271548931710595,-98.6449793109717,-98.64485215607854,-59913.681974958556,-62308.946710265234,4419.967856840212,0.00022624598919931724,0.003167793850980546,315.6771074893223,-315.67688124333307,-4.1039651677010625e-09,2.742304641538335e-05,4.023756850454093e-05,4.99058162668761e-06,1.4672902454035557,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
8,7.027000000000001e-10,288.49,101325,Liquid,232490,4418.758998786105,-149.17206837757527,-98.5222679994826,-11.849505196448376 m^-2 kg^-1 s^2 mol K,-2.156431565734487 m^-2 kg^-1 s^2 mol K,-59877.73673254479,-62253.445406884806,-33830.75631171407,-31455.047637374057,0.00022630788424413145,455.29102973640516,403.8359678220627,-0.00013134030643908719,-98.5001248536946,-98.49999351338816,-59870.94685267514,-62269.53570085983,4418.175549877063,0.00022633776967685799,0.0032795476332081112,304.92010235624554,-304.91987601847586,-7.96227732635657e-08,2.7460728823057865e-05,4.0265492841504486e-05,4.997439257621141e-06,1.4662936698058386,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
9,7.032e-10,288.52,101325,Liquid,232490,4418.62468587285,-149.1247244317409,-98.51141828921193,-11.848200276242592 m^-2 kg^-1 s^2 mol K,-2.1561940899010352 m^-2 kg^-1 s^2 mol K,-59874.53431980018,-62250.491730995964,-33827.97732619254,-31452.019914996752,0.0002263147633237968,455.3066428667261,403.8536039215469,-0.0001316590913190617,-98.48927490920154,-98.48914325011022,-59867.7434102908,-62266.58156489893,4418.041168885398,0.00022634465406131201,0.0032880703858598555,304.1297425689056,-304.1295162242516,7.123884060433738e-08,2.746355441983672e-05,4.0267586386138437e-05,4.997953473698939e-06,1.4662190396248733,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
10,8.557e-10,298.15,101325,Liquid,232490,4375.791905290833,-134.09316175355525,-95.12734809537807,-11.4411901844003 m^-2 kg^-1 s^2 mol K,-2.082124380232122 m^-2 kg^-1 s^2 mol K,-58858.49063379999,-61314.291854763986,-32952.07302012702,-30496.27179916303,0.00022853006304776184,460.4076701785936,409.523950036367,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
11,8.566000000000001e-10,298.2,101325,Liquid,232490,4375.570868905416,-134.01595522304603,-95.11027490945499,-11.439136752121248 m^-2 kg^-1 s^2 mol K,-2.0817506864692827 m^-2 kg^-1 s^2 mol K,-58853.275771989865,-61309.491546345744,-32947.60756834627,-30491.391793990395,0.00022854160747490257,460.4346185954841,409.55344605390474,-0.00027851527359414583,-95.08802631099563,-95.08774779572204,-58846.10997449887,-61325.372337939494,4374.96455117599,0.00022857328060662803,0.007341974293239428,136.20314646440687,-136.20291789112628,6.592539847360968e-08,2.8370875647859033e-05,4.093751315073312e-05,5.16307227857146e-06,1.4429414748720457,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
12,8.566999999999999e-10,298.21,101325,Liquid,232490,4375.526663176614,-134.00051492815697,-95.10686086921234,-11.438726137461055 m^-2 kg^-1 s^2 mol K,-2.081675960782436 m^-2 kg^-1 s^2 mol K,-58852.23287279987,-61308.531557828246,-32946.71457802044,-30490.41589299205,0.0002285439164194246,460.4400088519481,409.55934533409345,-0.0002787218141925797,-95.08461213180328,-95.08433340998909,-58845.06663646958,-61324.412059243376,4374.9203210200085,0.0002285755914674238,0.0073478204728399665,136.0947785396144,-136.09454996402292,3.5600571379745816e-07,2.8371808291196212e-05,4.0938199555326534e-05,5.163242005619006e-06,1.4429182354242003,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
13,1.034e-09,308.15,101325,Liquid,232490,4331.819641277187,-118.81488490157102,-91.8085512111425,-11.042030667224827 m^-2 kg^-1 s^2 mol K,-2.00948335697163 m^-2 kg^-1 s^2 mol K,-57827.33348780886,-60366.04428053963,-32075.239224826077,-29536.5284320953,0.0002308498697570801,465.8920884249436,415.4371545422189,-0.0005645797465372338,-91.78613415885751,-91.78556957911097,-57819.65850838511,-60381.52954473303,4331.188102486897,0.00023088353041647312,0.015696406268556923,63.70885047765375,-63.708619594123334,-8.160085940289719e-10,2.9293888415680834e-05,4.1614887347325824e-05,5.33104670747027e-06,1.4205996403348637,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
14,1.035e-09,308.16,101325,Liquid,232490,4331.775883923716,-118.79976605300033,-91.80532573568217,-11.04164273169508 m^-2 kg^-1 s^2 mol K,-2.0094127585451176 m^-2 kg^-1 s^2 mol K,-57826.31389638951,-60365.10759746419,-32074.378418756372,-29535.584717681697,0.000230852201682743,465.8976678082724,415.44308304625866,-0.0005649638485597082,-91.78290848407265,-91.78234352022409,-57818.63831949789,-60380.59233675324,4331.144318851324,0.00023088586442328781,0.015707907173859895,63.662204578349986,-63.66197369248556,-1.0223921265151148e-07,2.9294810997220596e-05,4.161556257935137e-05,5.331214603422154e-06,1.4205779509313008,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
15,1.2240000000000001e-09,318.15,101325,Liquid,232490,4288.235137247417,-103.84640778024763,-88.67031597078966,-10.664587724189515 m^-2 kg^-1 s^2 mol K,-1.9407944232877974 m^-2 kg^-1 s^2 mol K,-56818.64638244278,-59440.26406272068,-31229.803036613957,-28608.185356336056,0.00023319616765275886,471.56543633273947,421.38305448517224,-0.001083754908328891,-88.64767039890981,-88.64658664400149,-56810.25621678354,-59455.046853739674,4287.576359601363,0.00023323199778370243,0.03171469529435399,31.531124316935347,-31.530891084937565,1.671454867846478e-07,3.021131211223653e-05,4.228473381991714e-05,5.49800400953538e-06,1.3996324841114893,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
16,1.2279999999999999e-09,318.16,101325,Liquid,232490,4288.191705778627,-103.83158581234329,-88.6672623464168,-10.664220457594777 m^-2 kg^-1 s^2 mol K,-1.940727586296311 m^-2 kg^-1 s^2 mol K,-56817.6483041459,-59439.348889735964,-31228.972701599992,-28607.272116009925,0.00023319852949960998,471.5712033730526,421.38901873701263,-0.00108443253449589,-88.64461651731938,-88.64353208478488,-56809.2572858766,-59454.13076973494,4287.532899928092,0.0002332343618906741,0.031736117239994796,31.50984074194717,-31.50960750758528,1.8460696082911454e-07,3.0212224358967976e-05,4.2285398355537995e-05,5.498170024707728e-06,1.3996122183233524,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
17,1.326e-09,323.17,101325,Liquid,232490,4266.463561394098,-96.44107649281281,-87.15763674001302,-10.482654230679788 m^-2 kg^-1 s^2 mol K,-1.9076852662584967 m^-2 kg^-1 s^2 mol K,-56320.15755003139,-58983.39325693751,-30816.659791667502,-28153.424084761373,0.000234386157436967,474.48384519266017,424.3820298189196,-0.0014737061297272623,-87.13485508011519,-87.13338137398546,-56311.2963496405,-58997.65293541728,4265.790381021415,0.00023442314569628635,0.04421444250840437,22.61704418889638,-22.616809765750684,3.336062093239889e-07,3.066796266260894e-05,4.26170276602808e-05,5.5811075353795e-06,1.3896269579146325,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
18,1.426e-09,328.17,101325,Liquid,232490,4244.83095171495,-89.13364709084037,-85.690018626233,-10.306140343832103 m^-2 kg^-1 s^2 mol K,-1.875562396056041 m^-2 kg^-1 s^2 mol K,-55828.57081097975,-58533.25779984712,-30412.36438727623,-27707.677398408858,0.0002355806418147208,477.43688690702885,427.37920890448106,-0.001976919344851441,-85.6670879506414,-85.66511103129655,-55819.14121597796,-58546.84406725767,4244.142940465826,0.00023561883141717246,0.06077172533825652,16.455020726069268,-16.45478510723785,-8.651261396153131e-08,3.112022433278676e-05,4.294544189133989e-05,5.663412351097508e-06,1.3799849715766557,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
19,1.439e-09,328.22,101325,Liquid,232490,4244.614841008802,-89.06090805335201,-85.67553282619266,-10.304398102546575 m^-2 kg^-1 s^2 mol K,-1.8752453343694175 m^-2 kg^-1 s^2 mol K,-55823.67893012509,-58528.7804267935,-30408.357042580552,-27703.255545912143,0.00023559263618894895,477.46664910500186,427.40923348284423,-0.001982616082931535,-85.6526005948497,-85.65061797876677,-55814.24307614274,-58542.359073866195,4243.926679015644,0.00023563083805018623,0.06096151371752948,16.40379214718302,-16.40355651634497,-2.701696644180629e-07,3.1124734095502385e-05,4.2948713351728066e-05,5.664233060022709e-06,1.379890129179747,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
20,1.465e-09,328.25,101325,Liquid,232490,4244.485176406221,-89.01726777316355,-85.66684312605352,-10.303352971846223 m^-2 kg^-1 s^2 mol K,-1.8750551363151367 m^-2 kg^-1 s^2 mol K,-55820.744025832646,-58526.094227132446,-30405.95297100537,-27700.602769705583,0.0002355998332986743,477.48450862017665,427.42724873870054,-0.0019860408878974232,-85.6439099606486,-85.6419239197607,-55811.304410605546,-58539.668292961585,4243.796923943597,0.0002356380425175337,0.06107563540929583,16.373141160113057,-16.37290552207054,2.0280111812098767e-07,3.1127439831511824e-05,4.2950676108354524e-05,5.664725463244832e-06,1.379833238481549,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
21,1.5379999999999999e-09,333.14,101325,Liquid,232490,4223.365912520998,-81.934978024835,-84.26798058226544,-10.135108479323772 m^-2 kg^-1 s^2 mol K,-1.844437171394109 m^-2 kg^-1 s^2 mol K,-55344.56552253199,-58090.45407150918,-30017.419020333273,-27271.530471356087,0.00023677796826348946,480.41756099124194,430.36889959437985,-0.0026167709196356637,-84.2448891722506,-84.24227240133096,-55334.44995927382,-58103.18419362329,4222.662683997851,0.00023681740049698674,0.08236874188594237,12.140527791291506,-12.140290973891009,-7.640804255970579e-08,3.1567261856921324e-05,4.326941543737206e-05,5.744766450878864e-06,1.3707053729744052,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
22,1.668e-09,337.93,101325,Liquid,232490,4202.701354288722,-75.05585097691034,-82.93052099956658,-9.97424906553812 m^-2 kg^-1 s^2 mol K,-1.8151631796297187 m^-2 kg^-1 s^2 mol K,-54882.24785576549,-57667.844715051964,-29643.13375366843,-26857.53689438195,0.00023794219852893715,483.3326868312156,433.2605629766197,-0.0033932881666238323,-82.90726359703348,-82.90387030886686,-54871.33208663146,-57679.534056310564,4201.983021311311,0.00023798287497314315,0.10922838930945301,9.155129049526838,-9.154891066651865,-3.0961871289036935e-08,3.199577779038381e-05,4.357937640405266e-05,5.822749899978127e-06,1.3620352250711734,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
23,1.6650000000000001e-09,337.97,101325,Liquid,232490,4202.528851628707,-74.99864192874139,-82.91948464109119,-9.972921696713188 m^-2 kg^-1 s^2 mol K,-1.814921618485519 m^-2 kg^-1 s^2 mol K,-54878.40377260641,-57664.332220766955,-29640.03399661736,-26854.105548456824,0.00023795196542492406,483.3572044362738,433.284753664763,-0.003400518558442974,-82.89622580925345,-82.89282529069501,-54867.48066975001,-57676.01185830043,4201.810390748838,0.00023799265245326364,0.10948139087768663,9.133972376339345,-9.133734383686892,-1.1330604365866748e-07,3.1999346695559254e-05,4.358195552321241e-05,5.823399386994492e-06,1.3619639156339571,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
24,1.674e-09,337.99,101325,Liquid,232490,4202.442600577776,-74.97003885551825,-82.91396727140388,-9.972258109667253 m^-2 kg^-1 s^2 mol K,-1.8148008556326622 m^-2 kg^-1 s^2 mol K,-54876.48183241141,-57662.576074980054,-29638.484276918265,-26852.390034349613,0.00023795684915780033,483.3694643173598,433.2968492793321,-0.0034041386673210224,-82.89070772465493,-82.88730358598761,-54865.55505839452,-57674.250853961596,4201.724075735854,0.00023799754147941487,0.10960808235104344,9.123414793420846,-9.123176795879367,3.538804094205261e-08,3.2001131089426106e-05,4.358324502555822e-05,5.82372411981636e-06,1.3619282675904887,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
25,1.9170000000000003e-09,348.08,101325,Liquid,232490,4158.934646065783,-60.65981482312503,-80.19706886592343,-9.645490340028292 m^-2 kg^-1 s^2 mol K,-1.7553340406533064 m^-2 kg^-1 s^2 mol K,-53915.16974762422,-56784.904685308175,-28869.90895445756,-26000.1740167736,0.00024044619237909096,489.6456829550601,439.42241725797135,-0.005702934930752054,-80.17342851354579,-80.16772557861503,-53901.97523230037,-56793.48021867172,4158.182971375174,0.00024048965783467793,0.1922226239218755,5.2023012671309035,-5.2020607774730685,1.9259346117905807e-08,3.2896438942226314e-05,4.422900531366363e-05,5.986656671245344e-06,1.3444921923415452,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
26,2.068e-09,352.75,101325,Liquid,232490,4138.784030681327,-54.11450635947324,-78.9825147617049,-9.499413057587121 m^-2 kg^-1 s^2 mol K,-1.7287501742664408 m^-2 kg^-1 s^2 mol K,-53475.54976763187,-56383.99462788772,-28522.912545696312,-25614.467685440464,0.00024161685958650516,492.61153750605456,442.2735765674949,-0.007145124804443177,-78.9586867211103,-78.95154159630586,-53460.9702036943,-56390.61124528221,4138.016468563422,0.0002416616771820548,0.2458391750607226,4.067699949582888,-4.067458287905706,-3.910865871148417e-07,3.330756908736555e-05,4.452471502577875e-05,6.061476168591864e-06,1.3367746805235379,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
27,2.0400000000000004e-09,352.77,101325,Liquid,232490,4138.697690503245,-54.08657700639885,-78.97736890510708,-9.49879415329539 m^-2 kg^-1 s^2 mol K,-1.728637543002204 m^-2 kg^-1 s^2 mol K,-53473.67383912306,-56382.28447789944,-28521.438049244818,-25612.827410468435,0.00024162190011960138,492.6243215110011,442.28580921225597,-0.0071519032188116114,-78.95354004856183,-78.94638814534302,-53459.087805277435,-56388.8918626227,4137.930059691363,0.00024166672359720535,0.2460938845434604,4.063489841915999,-4.063248175192402,1.1875442851305706e-07,3.330932549817394e-05,4.4525977225181585e-05,6.061795808918344e-06,1.3367420852644571,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
28,2.4360000000000003e-09,364.53,101325,Liquid,232490,4087.82972301366,-37.80827603500176,-76.02957181133667,-9.144255654639519 m^-2 kg^-1 s^2 mol K,-1.6641168733966252 m^-2 kg^-1 s^2 mol K,-52380.02094472534,-55386.10501156696,-27671.045199180397,-24664.961132338787,0.00024462858478918554,500.26168057037285,449.5115384235127,-0.012191725461860897,-76.00525250555538,-75.99306078009351,-52360.67821118408,-55385.78814895758,4087.0209443240187,0.00024467699422700095,0.44111544007447073,2.2669802712668057,-2.266735594272579,1.9746244106499944e-07,3.4335888763583036e-05,4.526205573589389e-05,6.248614869550103e-06,1.3182141882955787,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
29,2.41e-09,364.54,101325,Liquid,232490,4087.7863602007055,-37.79455266197713,-76.02712894102532,-9.14396184487411 m^-2 kg^-1 s^2 mol K,-1.6640634044422724 m^-2 kg^-1 s^2 mol K,-52379.0985444986,-55385.265493028535,-27670.335908867153,-24664.168960337218,0.00024463117978379406,500.2682765292604,449.51771083254744,-0.012197015417031184,-76.00280921428785,-75.99061219887082,-52359.75085188409,-55384.94130503859,4086.977546036642,0.0002446795923725475,0.4413252709426277,2.2659024212778425,-2.26565774168547,-8.255187822214793e-08,3.4336756520586584e-05,4.5262676559218806e-05,6.248772788261714e-06,1.3181989548745408,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
