speed_of_sound_m_s,temperature,pressure,state,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
1078.1,298.15,100000.0,liquid,7538.487619588198,-92.95718241948552,-49.46884926464018,-5.9497350023119 m^-2 kg^-1 s^2 mol K,-1.9458420253591788 m^-2 kg^-1 s^2 mol K,-29233.49018451697,-31699.181953891268,-16950.044545638797,-14484.352776264494,0.00013265260228080425,243.22559481739347,208.08777148134484,-0.06868407047485987,-49.45589577069263,-49.38721170021777,-29181.024063344008,-31629.616373512526,7537.249518083171,0.00013267439237626754,8.234110691625137,0.12144602343239007,-0.1213133490400138,1.4354372979141772e-07,2.0883938912556616e-05,2.9660361083633707e-05,6.8300262070993414e-06,1.4202474546504351,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1221.6,298.15,19710000.0,liquid,7803.875625845821,-96.07603246971516,-52.30002801712406,-6.290247538420064 m^-2 kg^-1 s^2 mol K,-2.057205573931248 m^-2 kg^-1 s^2 mol K,-30121.121467357065,-30074.410361664988,-14481.157008359454,-14527.868114051531,0.0001281414579043365,240.59040560378227,209.66243543354793,-0.06868407047485987,-49.45589577069263,-49.38721170021777,-29181.024063344008,-31629.616373512526,7537.249518083171,0.00013267439237626754,8.234110691625137,0.12144602343239007,-0.1213133490400138,1.4354372979141772e-07,2.0883938912556616e-05,2.9660361083633707e-05,6.8300262070993414e-06,1.4202474546504351,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1336.1,298.15,39330000.0,liquid,8016.327181748468,-98.64822592701924,-54.648896054517834,-6.5727514289619995 m^-2 kg^-1 s^2 mol K,-2.149597578336548 m^-2 kg^-1 s^2 mol K,-30789.121066901404,-28361.84122414331,-12068.27286548882,-14495.552708246913,0.00012474540738267206,239.53570162081994,211.02737166567425,-0.06868407047485987,-49.45589577069263,-49.38721170021777,-29181.024063344008,-31629.616373512526,7537.249518083171,0.00013267439237626754,8.234110691625137,0.12144602343239007,-0.1213133490400138,1.4354372979141772e-07,2.0883938912556616e-05,2.9660361083633707e-05,6.8300262070993414e-06,1.4202474546504351,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1386.3,298.15,49130000.0,liquid,8109.318178472357,-99.79690810623329,-55.701683933765366,-6.6993727065595365 m^-2 kg^-1 s^2 mol K,-2.191008666924228 m^-2 kg^-1 s^2 mol K,-31068.44946559431,-27488.944005659145,-10881.486940807006,-14460.992400742165,0.00012331492956518586,239.31022934807626,211.65776268670137,-0.06868407047485987,-49.45589577069263,-49.38721170021777,-29181.024063344008,-31629.616373512526,7537.249518083171,0.00013267439237626754,8.234110691625137,0.12144602343239007,-0.1213133490400138,1.4354372979141772e-07,2.0883938912556616e-05,2.9660361083633707e-05,6.8300262070993414e-06,1.4202474546504351,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1052.2,303.15,100000.0,liquid,7487.384261832661,-88.89722186974707,-48.51057629118111,-5.834481255020182 m^-2 kg^-1 s^2 mol K,-1.9081486516251878 m^-2 kg^-1 s^2 mol K,-28928.481090333586,-31435.654633924787,-16729.673431253235,-14222.499887662034,0.00013355799101931408,245.02530522790659,209.57623086729515,-0.08175223605644999,-48.49818092277404,-48.41642868671759,-28866.175643296647,-31350.05880640691,7486.180013256785,0.0001335794755441581,10.035060086422707,0.09965062405086998,-0.09951704457532583,8.239658200182021e-08,2.1222791526703933e-05,2.9908030388532825e-05,6.940846883441139e-06,1.4092411147186055,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1200.3,303.15,19710000.0,liquid,7760.476264162809,-92.06190929019883,-51.37740473362467,-6.17928146329634 m^-2 kg^-1 s^2 mol K,-2.020914469826443 m^-2 kg^-1 s^2 mol K,-29843.928659937395,-29824.665426881154,-14249.605181882838,-14268.868414939083,0.0001288580708142761,242.1451291149512,211.1687782753831,-0.08175223605644999,-48.49818092277404,-48.41642868671759,-28866.175643296647,-31350.05880640691,7486.180013256785,0.0001335794755441581,10.035060086422707,0.09965062405086998,-0.09951704457532583,8.239658200182021e-08,2.1222791526703933e-05,2.9908030388532825e-05,6.940846883441139e-06,1.4092411147186055,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1316.6,303.15,39330000.0,liquid,7977.482758810396,-94.65261500027086,-53.738804121629684,-6.463292528888155 m^-2 kg^-1 s^2 mol K,-2.1137993910676163 m^-2 kg^-1 s^2 mol K,-30527.259949016225,-28117.662685473395,-11826.744216001352,-14236.341479544184,0.00012535282497421783,240.97272274354503,212.53954982421845,-0.08175223605644999,-48.49818092277404,-48.41642868671759,-28866.175643296647,-31350.05880640691,7486.180013256785,0.0001335794755441581,10.035060086422707,0.09965062405086998,-0.09951704457532583,8.239658200182021e-08,2.1222791526703933e-05,2.9908030388532825e-05,6.940846883441139e-06,1.4092411147186055,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1366.2,303.15,49130000.0,liquid,8072.137579024533,-95.80538521085612,-54.79350184545502,-6.59014350799083 m^-2 kg^-1 s^2 mol K,-2.155285602806464 m^-2 kg^-1 s^2 mol K,-30811.833464140353,-27245.99478856979,-10635.344704120105,-14201.183379690665,0.00012388292322946802,240.70637070091078,213.1704822168518,-0.08175223605644999,-48.49818092277404,-48.41642868671759,-28866.175643296647,-31350.05880640691,7486.180013256785,0.0001335794755441581,10.035060086422707,0.09965062405086998,-0.09951704457532583,8.239658200182021e-08,2.1222791526703933e-05,2.9908030388532825e-05,6.940846883441139e-06,1.4092411147186055,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
920.7,333.15,100000.0,liquid,7171.703716273336,-65.24611414428978,-43.15486986876156,-5.19033783067833 m^-2 kg^-1 s^2 mol K,-1.697483580835294 m^-2 kg^-1 s^2 mol K,-27112.66468655611,-29868.684219661143,-15491.639322883231,-12735.619789778195,0.0001394368813272217,256.6844800548739,218.58980263246002,-0.20297241560176876,-43.1504068301134,-42.947434414511626,-26955.6196453105,-29627.54414339004,7171.227526078626,0.0001394461403383781,28.423460378976127,0.03518220465301495,-0.03504275851267657,1.996959326788783e-07,2.3215032760146698e-05,3.13529879657525e-05,7.592403081352475e-06,1.350546789646416,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1092.1,333.15,19710000.0,liquid,7499.937241037529,-68.76242855253821,-46.2991003603669,-5.568501836700852 m^-2 kg^-1 s^2 mol K,-1.8211609236263384 m^-2 kg^-1 s^2 mol K,-28227.972805606543,-28369.914035919846,-12945.368750863614,-12803.427520550315,0.00013333444905755794,251.96486756411312,220.29722235103256,-0.20297241560176876,-43.1504068301134,-42.947434414511626,-26955.6196453105,-29627.54414339004,7171.227526078626,0.0001394461403383781,28.423460378976127,0.03518220465301495,-0.03504275851267657,1.996959326788783e-07,2.3215032760146698e-05,3.13529879657525e-05,7.592403081352475e-06,1.350546789646416,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1221.1,333.15,39330000.0,liquid,7747.7003351463745,-71.49898401380236,-48.76542401544478,-5.8651323909946536 m^-2 kg^-1 s^2 mol K,-1.9181730087572197 m^-2 kg^-1 s^2 mol K,-29015.844789986702,-26709.46299287304,-10463.261982127615,-12769.643779241278,0.00012907055729345103,250.01151140875703,221.69606293679794,-0.20297241560176876,-43.1504068301134,-42.947434414511626,-26955.6196453105,-29627.54414339004,7171.227526078626,0.0001394461403383781,28.423460378976127,0.03518220465301495,-0.03504275851267657,1.996959326788783e-07,2.3215032760146698e-05,3.13529879657525e-05,7.592403081352475e-06,1.350546789646416,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1276.5,333.15,49130000.0,liquid,7853.332920283801,-72.68867260302972,-49.842518574797516,-5.994677090251715 m^-2 kg^-1 s^2 mol K,-1.9605401931576942 m^-2 kg^-1 s^2 mol K,-29335.572000158172,-25849.592617319384,-9244.557554125593,-12730.536936964381,0.00012733447189245892,249.48799531798923,222.32533895773557,-0.20297241560176876,-43.1504068301134,-42.947434414511626,-26955.6196453105,-29627.54414339004,7171.227526078626,0.0001394461403383781,28.423460378976127,0.03518220465301495,-0.03504275851267657,1.996959326788783e-07,2.3215032760146698e-05,3.13529879657525e-05,7.592403081352475e-06,1.350546789646416,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
864.7,373.15,9910000.0,liquid,6953.946406132232,-37.513172417462194,-38.82851776094997,-4.669997273927768 m^-2 kg^-1 s^2 mol K,-1.527307846549547 m^-2 kg^-1 s^2 mol K,-25519.554185308374,-27197.005837057553,-12708.144434559077,-11030.692782809896,0.0001438032365504234,269.4337840503082,231.91268781524695,-0.5232754881284586,-36.79958901865285,-36.27631353052439,-24243.347562028437,-27072.570347958168,6713.9936505548685,0.00014894264904724127,85.54599434592018,0.011689618054544146,-0.011540675405496905,2.820161171257496e-08,2.577181883143884e-05,3.31818617810933e-05,8.428591883952936e-06,1.2875250287191606,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
954.9,373.15,19710000.0,liquid,7145.822504216359,-39.407115525679245,-40.49615288543653,-4.870567677701737 m^-2 kg^-1 s^2 mol K,-1.5929037630996115 m^-2 kg^-1 s^2 mol K,-26169.90207815388,-26514.188895271378,-11403.049446070736,-11058.762628953242,0.0001399419030363481,266.32607760064656,232.78207646603985,-0.5232754881284586,-36.79958901865285,-36.27631353052439,-24243.347562028437,-27072.570347958168,6713.9936505548685,0.00014894264904724127,85.54599434592018,0.011689618054544146,-0.011540675405496905,2.820161171257496e-08,2.577181883143884e-05,3.31818617810933e-05,8.428591883952936e-06,1.2875250287191606,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1101.7,373.15,39330000.0,liquid,7445.379241309997,-42.433386364024166,-43.180984636859215,-5.19347871533883 m^-2 kg^-1 s^2 mol K,-1.6985107972351556 m^-2 kg^-1 s^2 mol K,-27136.35253479038,-24956.423250845037,-8843.438833601016,-11023.36811754636,0.00013431149275131514,263.0950888992438,234.22099090889847,-0.5232754881284586,-36.79958901865285,-36.27631353052439,-24243.347562028437,-27072.570347958168,6713.9936505548685,0.00014894264904724127,85.54599434592018,0.011689618054544146,-0.011540675405496905,2.820161171257496e-08,2.577181883143884e-05,3.31818617810933e-05,8.428591883952936e-06,1.2875250287191606,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1162.9,373.15,49130000.0,liquid,7568.529541220595,-43.70287934031564,-44.31407722016207,-5.32975842881411 m^-2 kg^-1 s^2 mol K,-1.7430806467462796 m^-2 kg^-1 s^2 mol K,-27513.65830751593,-24124.846629569252,-7589.048714865776,-10977.86039281245,0.00013212606154916687,262.19843359821147,234.84450341355455,-0.5232754881284586,-36.79958901865285,-36.27631353052439,-24243.347562028437,-27072.570347958168,6713.9936505548685,0.00014894264904724127,85.54599434592018,0.011689618054544146,-0.011540675405496905,2.820161171257496e-08,2.577181883143884e-05,3.31818617810933e-05,8.428591883952936e-06,1.2875250287191606,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
657.5,433.15,9910000.0,liquid,6284.642504981635,4.597795955560714,-30.989098853952825,-3.7271318998167486 m^-2 kg^-1 s^2 mol K,-1.2189467063494668 m^-2 kg^-1 s^2 mol K,-22175.662054911925,-24200.211757612422,-10777.283589022749,-8752.733886322258,0.00015911804039885037,296.985684793893,251.20002122194512,-1.5706309242829695,-28.04037388673856,-26.46974296245559,-19272.889505288982,-21995.86290299183,5869.552313567397,0.00017037074491840076,315.3052773145633,0.0031715295364446224,-0.0030011587915262216,-6.891787052154541e-08,2.9429272035982064e-05,3.5750176175482224e-05,9.624750393267958e-06,1.2147828913937058,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
774.9,433.15,19710000.0,liquid,6580.432315155633,2.009709431870435,-33.19479089637752,-3.992415676258167 m^-2 kg^-1 s^2 mol K,-1.3057069268710733 m^-2 kg^-1 s^2 mol K,-23193.231479592723,-23799.397024856942,-9421.073348091017,-8814.907802826805,0.00015196569953266804,290.23372356988455,252.24815025582726,-1.5706309242829695,-28.04037388673856,-26.46974296245559,-19272.889505288982,-21995.86290299183,5869.552313567397,0.00017037074491840076,315.3052773145633,0.0031715295364446224,-0.0030011587915262216,-6.891787052154541e-08,2.9429272035982064e-05,3.5750176175482224e-05,9.624750393267958e-06,1.2147828913937058,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
949.7,433.15,39330000.0,liquid,6988.5728998181585,-1.6738996880857318,-36.37806951483437,-4.375276092457129 m^-2 kg^-1 s^2 mol K,-1.4309202157649423 m^-2 kg^-1 s^2 mol K,-24534.397897872415,-22508.048958168936,-6750.888147818433,-8777.237087521906,0.00014309073030146396,284.44617084798483,253.79311452678294,-1.5706309242829695,-28.04037388673856,-26.46974296245559,-19272.889505288982,-21995.86290299183,5869.552313567397,0.00017037074491840076,315.3052773145633,0.0031715295364446224,-0.0030011587915262216,-6.891787052154541e-08,2.9429272035982064e-05,3.5750176175482224e-05,9.624750393267958e-06,1.2147828913937058,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1019.2,433.15,49130000.0,liquid,7145.02228500052,-3.1207460239402987,-37.640837322850714,-4.527152150599395 m^-2 kg^-1 s^2 mol K,-1.480590800499268 m^-2 kg^-1 s^2 mol K,-25022.999108219676,-21748.292878780438,-5444.164192387651,-8718.87042182689,0.00013995757607352616,282.9432746735164,254.4172612957362,-1.5706309242829695,-28.04037388673856,-26.46974296245559,-19272.889505288982,-21995.86290299183,5869.552313567397,0.00017037074491840076,315.3052773145633,0.0031715295364446224,-0.0030011587915262216,-6.891787052154541e-08,2.9429272035982064e-05,3.5750176175482224e-05,9.624750393267958e-06,1.2147828913937058,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
